"PGID_","SMILES","Bandgap","Dielectric.Constant","Ionic.Dielectric.Constant","Electronic.Dielectric.Constant","Refractive.Index","Atomization.Energy","Breakdown.Field","Density","Ionization.Energy","Electron.Affinity","Cohesive.Energy","Dielectric.Loss","Melting.Temperature","Glass.Transition.Temperature","Onset.of.Degradation.Temperature","Hildebrand.Solubility.Parameter","Energy.Density","State","Molecular.Weight","Entanglement.Molecular.Weight","Molar.Heat.Capacity","Molar.Volume"
10019,"C([*])C([*])(C(=O)OC(C)C)",5.95,3.08,NA,NA,1.67,-5.44,NA,1.11,7.14,0.88,NA,NA,421,276,NA,18.59,NA,NA,104.06,NA,NA,106
10020,"C([*])C([*])(C(=O)OC)",5.64,3.34,NA,NA,1.69,-5.56,NA,1.22,6.92,1.12,0.29,NA,NA,293,NA,19.62,NA,NA,80.04,10000,NA,70.4
10021,"C([*])C([*])(C(=O)OCCCCCCCC)",6.61,3.02,NA,NA,1.66,-5.32,NA,1.01,7.32,0.6,NA,NA,NA,220,NA,17.84,NA,NA,164.12,15200,NA,188
10022,"C([*])C([*])(C(=O)OCCC)",5.79,3.15,NA,NA,1.67,-5.44,NA,1.11,7.1,0.77,0.37,NA,411.5,232,NA,18.74,NA,NA,104.06,NA,NA,103.1
10023,"C([*])C([*])(C(=O)OCCC)([Cl])",5.18,3.15,NA,NA,1.69,-5.36,NA,1.26,5.87,1.29,0.51,NA,NA,346,NA,19.82,NA,NA,139.52,344,NA,NA
10024,"C([*])C([*])(C(=O)OC(C)CC)",5.91,3.05,NA,NA,1.67,-5.41,NA,1.08,7.23,0.8,NA,NA,403,260,NA,18.33,NA,NA,116.07,NA,NA,122.1
10025,"C([*])C([*])(C(=O)OCCCCCCCCCCCCCCCCCC)",6.9,2.92,NA,NA,1.64,-5.22,NA,0.94,7.26,0.42,NA,NA,NA,301,NA,17.3,NA,NA,284.22,NA,NA,NA
10026,"C([*])C([*])(C(=O)OC(C)(C)C)",6.24,2.82,NA,NA,1.64,-5.45,NA,1.08,7.16,0.51,NA,NA,469.5,306,NA,18.09,NA,NA,116.07,NA,NA,128.2
10027,"C([*])C([*])(C(=O)OCC(F)(F)C(F)F)",6.36,3.36,NA,NA,1.64,-5.42,NA,1.56,8.1,1.15,NA,NA,NA,256,NA,15.82,NA,NA,180.06,NA,NA,122.5
10028,"C([*])C([*])(CC)",7.22,2.83,NA,NA,1.65,-5.15,NA,0.87,6.99,0.42,NA,NA,NA,263,NA,16.96,NA,NA,48.04,12300,118,65.2
10029,"C([*])C([*])(CCCC)",7.17,2.85,NA,NA,1.65,-5.15,NA,0.87,7.15,0.43,NA,NA,NA,242,NA,16.89,NA,NA,72.06,14100,177.9,97.3
10030,"C([*])C([*])(C1CCCCC1)",7.77,2.95,NA,NA,1.62,-5.3,NA,0.9,7,0.29,0.34,NA,615.5,361,NA,17.25,NA,NA,96.09,44000,NA,117.9
10032,"C([*])C([*])(CCCCCCC)",7.05,2.86,NA,NA,1.65,-5.15,NA,0.87,7.24,0.44,NA,NA,NA,225,NA,16.88,NA,NA,108.1,NA,NA,145
10033,"C([*])C([*])(CCCCCC)",7.09,2.86,NA,NA,1.65,-5.15,NA,0.87,7.22,0.43,NA,NA,NA,229,NA,16.88,NA,NA,96.09,NA,NA,NA
10034,"C([*])C([*])(C)(C)",7.4,2.69,NA,NA,1.64,-5.16,NA,0.87,6.95,0.37,0.17,NA,317,273,NA,15.71,NA,NA,48.04,7950,110,63.8
10035,"C([*])(CC(C)C)C([*])",7.15,2.8,NA,NA,1.65,-5.14,NA,0.87,6.79,0.43,0.22,NA,NA,290,NA,17.09,NA,NA,72.06,NA,142,100.7
10036,"C([*])(C(C)C)C([*])",7.08,2.79,NA,NA,1.65,-5.13,NA,0.87,6.71,0.43,0.26,NA,NA,291,NA,17.22,NA,NA,60.05,NA,NA,78.1
10037,"C([*])(C)(CC)C([*])",7.15,2.74,NA,NA,1.65,-5.16,NA,0.87,7.05,0.38,NA,NA,NA,268,NA,15.71,NA,NA,60.05,NA,NA,78.1
10038,"C([*])(CCCCCCCC)C([*])",7,2.86,NA,NA,1.65,-5.15,NA,0.87,7.25,0.44,NA,NA,NA,221,NA,16.88,NA,NA,120.11,NA,NA,160
10039,"C([*])C([*])(CCCCC)",7.13,2.85,NA,NA,1.65,-5.15,NA,0.87,7.19,0.43,NA,NA,NA,235,NA,16.88,NA,NA,84.07,NA,NA,113
10041,"C([*])C([*])(CCC)",7.2,2.84,NA,NA,1.65,-5.15,NA,0.87,7.09,0.43,NA,NA,NA,251,NA,16.91,NA,NA,60.05,NA,143.1,82.5
10042,"C([*])C([*])(C(C)(C)C)",7.33,2.57,NA,NA,1.62,-5.18,NA,0.87,6.84,0.18,NA,NA,NA,334,NA,16.93,NA,NA,72.06,NA,NA,NA
10044,"O([*])C(COCCCC)C([*])",6.62,3.09,NA,NA,1.66,-5.22,NA,1.01,6.91,0.36,NA,NA,300,197,NA,17.78,NA,NA,116.07,NA,NA,133
10045,"O([*])CC([*])(C[Cl])",5.04,3.05,NA,NA,1.71,-5.07,NA,1.29,5.66,1.14,0.28,NA,399,252,NA,19.95,NA,NA,87.48,NA,NA,68.9
10047,"C([*])CCCCCO([*])",7.46,3.04,NA,NA,1.65,-5.18,NA,0.96,7.17,0.33,NA,NA,345,209,NA,17.91,NA,NA,88.06,NA,NA,NA
10048,"O([*])C(COC)C([*])",6.35,3.27,NA,NA,1.66,-5.24,NA,1.1,6.67,0.57,NA,NA,NA,220,NA,19.07,NA,NA,80.04,NA,NA,80.5
10049,"O([*])C(COCCCCCC)C([*])",6.62,3.05,NA,NA,1.65,-5.21,NA,0.98,7.06,0.35,NA,NA,317,192,NA,17.41,NA,NA,140.09,NA,NA,164
10050,"C([*])COCO([*])",6.95,3.48,NA,NA,1.66,-5.23,NA,1.16,7.16,0.66,0.29,NA,337.5,207,NA,20.3,NA,NA,68.03,2200,135.9,63.5
10051,"C([*])CCCOCO([*])",7.42,3.26,NA,NA,1.66,-5.21,NA,1.06,6.93,0.47,0.34,NA,296,184,NA,19.04,NA,NA,92.05,NA,194.3,97.2
10052,"O([*])C(C)C([*])",6.92,3.06,NA,NA,1.66,-5.23,NA,1.03,6.82,0.41,0.18,NA,348,215,NA,17.94,NA,NA,52.03,NA,111.5,57.9
10053,"C([*])CCCO([*])",7.29,3.12,NA,NA,1.65,-5.19,NA,1,6.87,0.34,0.23,NA,330,202,NA,18.39,NA,NA,64.04,NA,148,73.7
10055,"C([*])(C[Cl])(C[Cl])CCO([*])",4.96,3.08,NA,NA,1.77,-5.02,NA,1.34,5.23,1.29,NA,NA,406,278,NA,19.85,NA,NA,146.96,NA,177,111.5
10057,"N([*])CCCCCC([*])(=O)",6.34,3.26,NA,NA,1.66,-5.44,NA,1.07,6.77,0.61,0.7,NA,533,330,NA,25.08,NA,NA,102.07,2500,166,104.4
10058,"N([*])C(=O)CCCCCCCCCC([*])",6.63,3.08,NA,NA,1.65,-5.32,NA,0.98,7.11,0.52,NA,NA,474,318,NA,22.65,NA,NA,162.12,NA,NA,180.1
10059,"N([*])C(=O)CCCCCCCCCCC([*])",6.65,3.07,NA,NA,1.65,-5.3,NA,0.98,7.14,0.51,NA,NA,452,316,NA,22.4,NA,NA,174.13,NA,NA,197.3
10060,"N([*])C(=O)CCCCC(=O)NCCCCCC([*])",6.34,3.26,NA,NA,1.66,-5.44,NA,1.07,6.77,0.61,1.48,NA,553,335,NA,25.01,NA,NA,204.14,2000,328,209.9
10061,"N([*])C(=O)CCCCCCCCC(=O)NCCCCCC([*])",6.49,3.16,NA,NA,1.66,-5.37,NA,1.02,6.96,0.56,NA,NA,497,325,NA,23.76,NA,NA,252.18,NA,448.5,271.5
10062,"N([*])C(=O)CCCCCCCCCCC(=O)NCCCCCC([*])",6.55,3.13,NA,NA,1.66,-5.35,NA,1.01,7.02,0.54,NA,NA,NA,321,NA,23.32,NA,NA,276.2,NA,482,292.9
10063,"N([*])C(=O)CCCCCCC([*])",6.5,3.16,NA,NA,1.66,-5.37,NA,1.02,6.96,0.56,0.86,NA,470,325,NA,23.75,NA,NA,126.09,NA,NA,135.9
10064,"N([*])C(=O)C(C=C1)=CC=C1C(=O)NCCCCCC([*])",4.79,3.74,NA,NA,1.77,-5.78,NA,1.14,6.55,1.62,NA,NA,NA,407,NA,25.87,NA,NA,228.16,NA,NA,209
10065,"N([*])C(C=C1)=CC=C1NC(=O)C(C=C2)=CC=C2C([*])(=O)",3.01,4.83,NA,NA,1.99,-6.38,NA,1.37,6.1,2.29,1.32,NA,820,561,NA,25.87,NA,NA,228.16,NA,NA,NA
10066,"N([*])C(=C1)C=CC=C1NC(=O)C(=C2)C=CC=C2C([*])(=O)",3.09,4.83,NA,NA,1.99,-6.39,NA,1.37,6.11,2.29,NA,NA,680,554,NA,25.93,NA,NA,228.16,NA,271,175.9
10067,"O([*])C(=O)C(C=C1)=CC=C1CCCCCC(C=C2)=CC=C2C([*])(=O)",4.2,3.61,NA,NA,1.79,-6,NA,1.17,6.68,1.99,NA,NA,NA,334,NA,20.43,NA,NA,276.2,NA,NA,NA
10068,"O([*])C(=O)C(C=C1)=CC=C1CCCCC(C=C2)=CC=C2C([*])(=O)",4.04,3.68,NA,NA,1.81,-6.07,NA,1.19,6.76,2.09,NA,NA,NA,346,NA,20.69,NA,NA,264.19,NA,NA,NA
10069,"O([*])C(=O)CCCCCCCC([*])(=O)",6.75,3.18,NA,NA,1.67,-5.53,NA,1.15,7.79,0.98,NA,NA,NA,266,NA,18.79,NA,NA,156.09,NA,NA,150.5
10070,"C([*])(=O)C(C=C1)=CC=C1C(=O)OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O([*])",3.86,3.73,NA,NA,1.83,-6.2,NA,1.22,6.34,2.04,NA,NA,NA,422,NA,21,NA,NA,340.24,2450,NA,296.2
10071,"O([*])C(=O)C(=CC=C1)C=C1C(=O)OCCCC([*])",4.47,3.8,NA,NA,1.8,-5.95,NA,1.25,7.28,2.13,NA,NA,426,310,NA,21.27,NA,NA,208.13,NA,NA,174
10072,"O([*])CCCCOC(=O)CCCCCCCCC([*])(=O)",6.7,3.12,NA,NA,1.66,-5.41,NA,1.08,7.5,0.64,NA,NA,NA,222,NA,18.6,NA,NA,232.15,NA,NA,225.7
10074,"O([*])CCOC(=O)CCCCCCCCC([*])(=O)",6.77,3.16,NA,NA,1.67,-5.45,NA,1.11,7.63,0.69,NA,NA,356.2,232,NA,18.88,NA,NA,208.13,NA,449,209
10075,"O([*])CCOC(=O)CCC([*])(=O)",6.45,3.47,NA,NA,1.7,-5.73,NA,1.32,7.79,1.05,NA,NA,379,261,NA,20.18,NA,NA,136.06,NA,NA,NA
10079,"O([*])C(=O)C(=C1)C=CC=C1C(=O)OCC([*])",4.1,4.08,NA,NA,1.84,-6.16,NA,1.34,7.35,2.59,0.81,NA,464.5,326,NA,22.11,NA,NA,184.1,4950,NA,144
10080,"O([*])CCOC(=O)C(C=C1)=CC(C=C2)=C1C=C2C([*])(=O)",3.09,4.64,NA,NA,1.99,-6.29,NA,1.35,6.8,2.98,NA,NA,NA,384,NA,22.17,NA,NA,232.15,NA,NA,179
10081,"O([*])C(=O)C(C=CC=C1)=C1C(=O)OCC([*])",4.12,4.08,NA,NA,1.84,-6.17,NA,1.34,7.37,2.59,NA,NA,NA,317,NA,22.07,NA,NA,184.1,NA,NA,143.6
10082,"O([*])C(=O)C(C=C1)=CC=C1C(=O)OCC([*])",4.06,4.08,NA,NA,1.84,-6.16,NA,1.34,7.32,2.59,0.67,NA,553,335,NA,22.14,NA,NA,184.1,1450,219,144.3
10084,"O([*])CCCCCCOC(=O)CCCCCCCCC([*])(=O)",6.72,3.09,NA,NA,1.66,-5.38,NA,1.06,7.44,0.61,NA,NA,349,222,NA,18.37,NA,NA,256.17,NA,NA,276.1
10085,"C([*])(C)CC(=O)O([*])",6.55,3.2,NA,NA,1.68,-5.6,NA,1.22,7.59,0.99,NA,NA,NA,283,NA,19.52,NA,NA,80.04,NA,NA,70.7
10086,"C([*])(C)C(=O)O([*])",6.06,3.39,NA,NA,1.7,-5.74,NA,1.32,8.17,1.51,0.24,NA,NA,328,NA,20.17,NA,NA,68.03,8700,99,57.2
10087,"O([*])CCCOC(=O)CCC([*])(=O)",6.42,3.38,NA,NA,1.69,-5.65,NA,1.27,7.45,0.94,NA,NA,NA,243,NA,19.95,NA,NA,148.07,NA,288,NA
10088,"O([*])C(=O)C(C=C1)=CC=C1C(=O)OCCC([*])",4.27,3.92,NA,NA,1.82,-6.04,NA,1.29,7.36,2.34,NA,NA,NA,312,NA,21.71,NA,NA,196.12,NA,236.1,153.9
10090,"C([*])(C=C1)=CC=C1OC(C=C2)=CC=C2C(=O)C(C=C3)=CC=C3C([*])(=O)",2.92,4.31,NA,NA,1.93,-6.44,NA,1.27,6.54,2.51,NA,NA,NA,443,NA,23.51,NA,NA,288.21,NA,300,236
10091,"C([*])CC([*])(=O)",5.24,3.41,NA,NA,1.72,-5.66,NA,1.22,6.78,1.71,NA,NA,NA,289,NA,22.41,NA,NA,52.03,NA,NA,45.2
10092,"C([*])C(C)C([*])(=O)",5.17,3.23,NA,NA,1.69,-5.5,NA,1.13,6.84,1.54,NA,NA,NA,331,NA,20.57,NA,NA,64.04,NA,NA,NA
10093,"C([*])C([*])(C1=C([Cl])C=CC=C1)",3.51,3.32,NA,NA,1.84,-5.81,NA,1.18,4.94,2.34,0.43,NA,NA,392,NA,19.25,NA,NA,131.54,NA,NA,114
10094,"C([*])C([*])(C1=CC=C([Cl])C=C1)",3.46,3.32,NA,NA,1.85,-5.81,NA,1.18,4.94,2.35,0.43,NA,NA,391,NA,19.25,NA,NA,131.54,NA,141,112.6
10095,"C([*])C([*])(C1=C(F)C=CC(F)=C1)",4.94,3.48,NA,NA,1.76,-5.81,NA,1.07,5.93,1.53,0.34,NA,NA,379,NA,18.08,NA,NA,134.08,NA,NA,106
10096,"C([*])C([*])(C1=CC=C(F)C=C1)",4.66,3.47,NA,NA,1.77,-5.85,NA,1.05,5.55,1.48,0.37,NA,NA,379,NA,18.49,NA,NA,115.08,NA,117,102
10097,"C([*])C([*])(C=C)",5.63,3.22,NA,NA,1.64,-5.51,NA,0.93,5.05,1.16,0.18,NA,NA,283,NA,17.52,NA,NA,48.04,3700,NA,59.3
10098,"C([*])C=CC([*])",5.67,3,NA,NA,1.65,-5.55,NA,0.93,5.63,1.04,0.18,NA,284,197,NA,17.42,NA,NA,48.04,NA,101,59.7
10099,"C([*])(CC)=CCC([*])",5.45,2.8,NA,NA,1.65,-5.44,NA,0.91,6.21,0.83,NA,NA,NA,222,NA,16.9,NA,NA,72.06,7600,NA,92.1
10100,"C([*])(C)=CCC([*])",5.64,2.76,NA,NA,1.67,-5.5,NA,0.92,6.06,0.81,0.21,NA,301.2,213,NA,16.95,NA,NA,60.05,4800,130,75.4
10101,"C([*])C=CC([*])(C)",5.74,2.94,NA,NA,1.65,-5.45,NA,0.92,5.53,0.99,NA,NA,NA,287,NA,16.96,NA,NA,60.05,NA,NA,76.5
10102,"C([*])(C(=O)OC)C([*])(C(=O)OC)",5.37,3.52,NA,NA,1.71,-5.69,NA,1.32,7.05,1.41,0.47,NA,NA,359,NA,20.27,NA,NA,136.06,NA,NA,115.5
10103,"C([*])(C(=O)OCC)C([*])(C(=O)OCC)",5.66,3.3,NA,NA,1.69,-5.57,NA,1.22,6.94,1.01,0.5,NA,NA,288,NA,19.61,NA,NA,160.08,NA,NA,145.5
10104,"C([*])(C(=O)OCCC)C([*])(C(=O)OCCC)",5.74,3.21,NA,NA,1.68,-5.49,NA,1.16,7.06,0.87,0.69,NA,NA,262,NA,19.11,NA,NA,184.1,NA,NA,165.7
10105,"O([*])C(=O)OC(C=C1)=CC=C1SC(C=C2)=CC=C2([*])",3.63,4.24,NA,NA,1.91,-6.23,NA,1.36,5.89,1.77,NA,NA,513,393,NA,20.94,NA,NA,236.2,NA,NA,180.2
10106,"C([*])(=O)OC(C=C1)=CC=C1C(CC)(C)C(C=C2)=CC=C2O([*])",4.44,3.41,NA,NA,1.76,-6,NA,1.18,5.84,1.34,NA,NA,495,422,NA,19.91,NA,NA,252.18,NA,NA,227.4
10107,"C([*])(=O)OC(C=C1)=CC=C1CC(C=C2)=CC=C2O([*])",4.34,3.59,NA,NA,1.79,-6.26,NA,1.27,6.14,1.38,NA,NA,543,402,NA,20.87,NA,NA,216.15,NA,NA,182.4
10108,"C([*])COC(=O)O([*])",6.86,3.57,NA,NA,1.69,-5.74,NA,1.43,8.1,0.47,NA,NA,NA,291,NA,19.98,NA,NA,84.03,NA,NA,62
10109,"C([*])C(C)OC(=O)O([*])",6.8,3.3,NA,NA,1.68,-5.62,NA,1.32,7.91,0.52,NA,NA,NA,314,NA,19.64,NA,NA,96.04,NA,NA,81
10110,"C([*])(=O)OC(C([Cl])=C1)=C([Cl])C=C1C(C)(C)C(C=C2([Cl]))=CC([Cl])=C2O([*])",3.33,4.35,NA,NA,1.82,-5.87,NA,1.5,5.97,2.41,NA,NA,533,473,NA,19.5,NA,NA,381.98,NA,NA,NA
10111,"C([*])(=O)OC(C(C)=C1)=C(C)C=C1C(C)(C)C(C=C2(C))=CC(C)=C2O([*])",5.02,3.01,NA,NA,1.74,-5.76,NA,1.12,6.18,0.95,1.05,NA,NA,451,NA,18.69,NA,NA,288.21,3420,NA,286.3
10112,"C([*])([Cl])(F)C([*])(F)(F)",3.28,3.65,NA,NA,1.77,-4.91,NA,2,6.84,3.66,0.16,NA,493,357,NA,15.98,NA,NA,116.47,NA,101.1,58.3
10113,"C([*])(F)(F)C([*])(F)(F)",7.89,3.14,NA,NA,1.54,-5.08,NA,2.09,8.76,1.76,0.08,NA,605,208,NA,12.44,NA,NA,100.02,4650,93,48.5
10114,"C([*])([Cl])C([*])",5.25,3.3,NA,NA,1.76,-4.93,NA,1.43,4.99,1.98,0.18,NA,546,350,NA,19.86,NA,NA,59.47,5400,62,45.2
10116,"C([*])([Cl])([Cl])C([*])",4.21,4.11,NA,NA,2.05,-4.83,NA,1.71,3.2,2.82,0.26,NA,463,259,NA,20.52,NA,NA,94.93,NA,130,56.6
10118,"C([*])C([*])(C#N)(C(=O)OC)",5.93,3.37,NA,NA,1.67,-5.69,NA,1.42,6.43,1.14,0.73,NA,NA,430,NA,27.67,NA,NA,106.06,NA,NA,83.6
10119,"C([*])C([*])(C#N)(C(=O)OCC)",6,3.24,NA,NA,1.66,-5.6,NA,1.33,6.63,0.87,NA,NA,NA,417,NA,25.02,NA,NA,118.07,NA,NA,NA
10120,"C([*])C([*])(C#N)(C(=O)OCCCC)",5.97,3.15,NA,NA,1.66,-5.49,NA,1.22,6.99,0.7,NA,NA,NA,379,NA,21.84,NA,NA,142.09,NA,NA,NA
10121,"C([*])C([*])(C#N)(C(=O)OCCCCCCCC)",6.66,3.05,NA,NA,1.65,-5.38,NA,1.1,7.25,0.58,NA,NA,NA,321,NA,19.14,NA,NA,190.13,NA,NA,NA
10122,"C([*])C(O)COC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2O([*])",4.58,3.35,NA,NA,1.76,-5.8,NA,1.12,5.73,1.26,1.28,NA,NA,386,NA,21.68,NA,NA,264.19,1600,NA,NA
10123,"C([*])C(O)COC(C=C1)=CC=C1CC(C=C2)=CC=C2O([*])",4.54,3.44,NA,NA,1.77,-5.89,NA,1.16,5.77,1.27,NA,NA,NA,374,NA,22.69,NA,NA,240.17,NA,NA,NA
10124,"C([*])C(O)COC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2OCC(O)CNCCN([*])",5.01,3.29,NA,NA,1.72,-5.61,NA,1.1,5.79,1.07,1.83,NA,NA,391,NA,22.28,NA,NA,368.26,NA,NA,NA
10125,"C([*])C(O)COC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2OCC(O)CNCCCCCCN([*])",5.31,3.18,NA,NA,1.7,-5.54,NA,1.06,5.83,0.85,1.94,NA,NA,373,NA,21.37,NA,NA,416.3,NA,NA,NA
10126,"C([*])C(O)COC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2OCC(O)CNCCCCCCCCN([*])",5.5,3.14,NA,NA,1.69,-5.5,NA,1.05,5.85,0.75,1.99,NA,NA,374,NA,20.95,NA,NA,440.32,NA,NA,NA
10127,"C([*])C([Cl])=CC([*])",3.54,3.72,NA,NA,1.83,-5.38,NA,1.23,5.62,2.56,0.24,NA,316,253,NA,18.26,NA,NA,83.5,NA,NA,71.3
10128,"C([*])(C(=O)OC)(CC(=O)OC)C([*])",5.38,3.38,NA,NA,1.69,-5.65,NA,1.27,7.2,1.19,0.49,NA,NA,379,NA,19.92,NA,NA,148.07,NA,207.6,NA
10129,"C([*])(C(=O)OCCC)(CC(=O)OCCC)C([*])",5.7,3.15,NA,NA,1.67,-5.48,NA,1.13,7.25,0.78,0.67,NA,NA,306,NA,18.75,NA,NA,196.12,NA,328,NA
10130,"C([*])(C(=O)OCCCC)(C(=O)OCCCC)C([*])",5.77,3.14,NA,NA,1.67,-5.46,NA,1.11,7.46,0.75,0.75,NA,NA,293,NA,18.56,NA,NA,208.13,NA,NA,NA
10131,"C([*])(C(=O)OCCCCCC)(CC(=O)OCCCCCC)C([*])",5.77,3.05,NA,NA,1.66,-5.37,NA,1.05,7.35,0.63,0.9,NA,NA,264,NA,17.86,NA,NA,268.18,NA,486,NA
10132,"C([*])C([*])(C)(C(=O)NC(=O)C)",5.09,3.49,NA,NA,1.7,-5.7,NA,1.23,6.4,1.17,0.77,NA,NA,446,NA,26.64,NA,NA,118.07,NA,NA,112
10133,"C([*])C([*])(C)(C(=O)NCC1=CC=CC=C1)",4.54,3.45,NA,NA,1.74,-5.8,NA,1.11,5.8,1.35,0.82,NA,NA,414,NA,23.08,NA,NA,162.12,NA,NA,155.5
10134,"C([*])C([*])(C)(C(=O)NC(C)(C)C)",5.71,2.94,NA,NA,1.64,-5.42,NA,1.02,6.66,0.57,NA,NA,NA,425,NA,22.01,NA,NA,126.09,NA,NA,138
10135,"C([*])C([*])(C)(C(=O)O)",5.96,3.27,NA,NA,1.66,-5.56,NA,1.25,7.32,1.48,NA,NA,NA,450,NA,21.33,NA,NA,80.04,NA,112.1,67
10136,"C([*])C([*])(C)(C(=O)OCC1=CC=CC=C1)",4.6,3.4,NA,NA,1.74,-5.83,NA,1.14,6.07,1.51,0.64,NA,NA,334,NA,19.13,NA,NA,164.12,NA,NA,150.3
10137,"C([*])C([*])(C)(C(=O)OCCCC)",5.62,3.04,NA,NA,1.66,-5.38,NA,1.06,7.16,0.7,0.45,NA,NA,291,NA,17.81,NA,NA,128.08,12200,NA,135
10138,"C([*])C([*])(C)(C(=O)OC1CCCCC1)",6.3,3.07,NA,NA,1.64,-5.48,NA,1.05,7.19,0.6,NA,NA,NA,354,NA,17.83,NA,NA,152.11,34500,NA,153
10139,"C([*])C([*])(C)(C(=O)OCCCCCCCCCC)",6.49,2.97,NA,NA,1.65,-5.29,NA,0.98,7.32,0.57,NA,NA,NA,228,NA,17.08,NA,NA,200.15,61100,NA,238
10140,"C([*])C([*])(C)(C(=O)OCCCCCCCCCCCC)",6.54,2.96,NA,NA,1.65,-5.28,NA,0.97,7.34,0.55,0.8,NA,239,233,NA,16.96,NA,NA,224.17,112000,511,274
10141,"C([*])C([*])(C)(C(=O)OCCOCC)",5.47,3.15,NA,NA,1.67,-5.39,NA,1.11,6.88,0.64,0.52,NA,NA,273,NA,18.68,NA,NA,144.08,NA,NA,145.6
10142,"C([*])C([*])(C)(C(=O)OCC)",5.56,3.09,NA,NA,1.67,-5.45,NA,1.11,7,0.81,0.36,NA,NA,331,NA,18.39,NA,NA,104.06,8600,166,102.2
10143,"C([*])C([*])(C)(C(=O)OCCCCCC)",5.61,3,NA,NA,1.66,-5.34,NA,1.02,7.25,0.63,0.53,NA,NA,265,NA,17.47,NA,NA,152.11,33500,324,169
10144,"C([*])C([*])(C)(C(=O)OCCO)",5.72,3.26,NA,NA,1.67,-5.46,NA,1.19,7.07,0.91,NA,NA,NA,354,NA,20.59,NA,NA,120.06,NA,NA,97
10145,"C([*])C([*])(C)(C(=O)OCC(O)C)",5.86,3.15,NA,NA,1.67,-5.42,NA,1.15,7.15,0.91,NA,NA,NA,363,NA,19.93,NA,NA,132.07,NA,NA,108.2
10146,"C([*])C([*])(C)(C(=O)OCC(C)C)",5.74,3,NA,NA,1.66,-5.37,NA,1.06,6.91,0.71,0.45,NA,NA,322,NA,17.83,NA,NA,128.08,NA,227,135
10147,"C([*])C([*])(C)(C(=O)OC(C)C)",5.73,3,NA,NA,1.67,-5.42,NA,1.08,7.12,0.84,0.41,NA,NA,348,NA,17.92,NA,NA,116.07,NA,NA,121.7
10148,"C([*])C([*])(C)(C(=O)OC)",5.47,3.18,NA,NA,1.68,-5.5,NA,1.16,6.92,1.01,0.32,NA,453,360,NA,18.85,NA,NA,92.05,11800,136.5,87.1
10149,"C([*])C([*])(C)(C(=O)OCCCCCCCCCCCCCCCCCC)",6.8,2.89,NA,NA,1.64,-5.22,NA,0.94,7.23,0.39,0.95,NA,NA,289,NA,16.74,NA,NA,296.23,225000,677,NA
10150,"C([*])C([*])(C)(C(=O)OCCCCCCCC)",6.43,2.98,NA,NA,1.66,-5.31,NA,1,7.29,0.59,0.62,NA,NA,227,NA,17.24,NA,NA,176.13,67000,NA,204.2
10151,"C([*])C([*])(C)(C(=O)OCCC1=CC=CC=C1)",4.44,3.34,NA,NA,1.73,-5.75,NA,1.11,6.02,1.42,NA,NA,NA,327,NA,19.04,NA,NA,176.13,NA,NA,168.5
10152,"C([*])C([*])(C)(C(=O)OC1=CC=CC=C1)",4.58,3.48,NA,NA,1.75,-5.91,NA,1.17,5.71,1.54,NA,NA,NA,350,NA,19.59,NA,NA,152.11,45000,NA,NA
10153,"C([*])C([*])(C)(C(=O)OCCC)",5.6,3.06,NA,NA,1.67,-5.41,NA,1.08,7.1,0.74,0.42,NA,NA,309,NA,18.06,NA,NA,116.07,NA,NA,119
10154,"C([*])C([*])(C)(C(=O)OCC[Cl])",5.1,3.16,NA,NA,1.7,-5.36,NA,1.26,5.43,1.08,NA,NA,NA,351,NA,19.8,NA,NA,139.52,24600,NA,112.6
10155,"C([*])C([*])(C)(C(=O)OC(C)CC)",5.72,2.98,NA,NA,1.66,-5.39,NA,1.06,7.2,0.78,NA,NA,NA,328,NA,17.69,NA,NA,128.08,NA,NA,135
10156,"C([*])C([*])(C)(C(=O)OC1CCC(CC1)C(C)(C)C)",6.44,2.87,NA,NA,1.63,-5.4,NA,1,7.01,0.46,NA,NA,NA,380,NA,17.13,NA,NA,200.15,50000,NA,228
10157,"C([*])C([*])(C)(C(=O)OC(C)(C)C)",6,2.78,NA,NA,1.64,-5.42,NA,1.06,7.12,0.53,0.42,NA,407.5,351,NA,17.47,NA,NA,128.08,28300,NA,139
10158,"C([*])C(C)(C(=O)OCC(F)(F)C([*])(F)F)",7,3.22,NA,NA,1.65,-5.42,NA,1.52,8.08,0.97,NA,NA,NA,336,NA,15.92,NA,NA,192.07,NA,NA,122.5
10159,"C([*])C([*])(C1=C(OC)C=CC=C1)",4.41,3.35,NA,NA,1.76,-5.79,NA,1.08,5.57,1.22,0.48,NA,NA,365,NA,19.95,NA,NA,124.1,NA,NA,122.4
10160,"C([*])C([*])(C)(C1=CC=CC=C1)",4.41,3.31,NA,NA,1.75,-5.78,NA,1,5.03,1.31,0.39,NA,NA,394,NA,17.86,NA,NA,108.1,16000,150,110.4
10161,"C([*])C([*])(C1=C(C)C=CC=C1)",4.76,3.19,NA,NA,1.75,-5.74,NA,1,5.46,1.23,0.42,NA,633,383,NA,18.33,NA,NA,108.1,NA,NA,114.9
