"PGID_","SMILES","Bandgap","Dielectric.Constant","Ionic.Dielectric.Constant","Electronic.Dielectric.Constant","Refractive.Index","Atomization.Energy","Breakdown.Field","Density","Ionization.Energy","Electron.Affinity","Cohesive.Energy","Dielectric.Loss","Melting.Temperature","Glass.Transition.Temperature","Onset.of.Degradation.Temperature","Hildebrand.Solubility.Parameter","Energy.Density","State","Molecular.Weight","Entanglement.Molecular.Weight","Molar.Heat.Capacity","Molar.Volume"
3210,"*CCOC(=O)NCCO*",6.3,3.54,0.8,2.73,1.67,-5.52,NA,1.25,6.8,0.47,0.71,NA,NA,295,NA,21.6,NA,NA,NA,NA,NA,NA
3211,"*CCOC(=O)OCCO*",6.62,3.45,0.66,2.67,1.67,-5.53,NA,1.31,7.55,0.42,0.77,NA,NA,260,NA,20.06,NA,NA,NA,NA,NA,NA
3212,"*CCOC(=S)NC(=S)C(C=C1)=CC=C1N*",2.62,4.92,0.98,4.19,2.03,-5.81,NA,1.46,5.68,2.51,-0.17,NA,NA,444,NA,21.58,NA,NA,NA,NA,NA,NA
3213,"*CNCCCOCO*",6.73,3.37,0.78,2.76,1.66,-5.22,NA,1.09,6.29,0.61,-0.12,NA,NA,179,NA,19.63,NA,NA,NA,NA,NA,NA
3214,"*CNCNC(=O)NC(=O)N*",5.34,4.28,1.1,2.82,1.7,-5.83,NA,1.38,6.43,0.93,0.76,NA,NA,341,NA,24.14,NA,NA,NA,NA,NA,NA
3215,"*CNC(=O)NCOCO*",6.68,3.93,1.37,2.85,1.67,-5.59,NA,1.32,7.25,0.67,0.74,NA,NA,326,NA,25.52,NA,NA,NA,NA,NA,NA
3216,"*CNC(=O)ONC(=O)NO*",5.43,4.54,1.55,3.1,1.7,-5.82,NA,1.53,7.46,1.12,0.96,NA,NA,337,NA,21.96,NA,NA,NA,NA,NA,NA
3217,"*COCOCCCC*",7.43,3.21,0.48,2.57,1.66,-5.2,NA,1.03,6.97,0.43,0.54,NA,NA,184,NA,18.7,NA,NA,NA,NA,NA,NA
3218,"*COCOCCCO*",7.29,3.44,0.76,2.75,1.66,-5.23,NA,1.14,7.1,0.63,-0.11,NA,NA,188,NA,19.91,NA,NA,NA,NA,NA,NA
3219,"*COC(=O)NCCNC*",6.24,3.51,0.88,2.79,1.66,-5.5,NA,1.21,6.46,0.54,0.66,NA,NA,322,NA,21.45,NA,NA,NA,NA,NA,NA
3220,"*C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3*",2.25,5.74,1.27,4.09,2.14,-6.07,NA,1.68,5.62,2.68,-0.13,NA,NA,440,NA,20.19,NA,NA,NA,NA,NA,NA
3221,"*C(=O)NC(=O)CNC(=O)ON*",5.17,4.69,1.84,3.18,1.74,-6.11,NA,1.55,7.75,1.64,-0.07,NA,NA,362,NA,22.57,NA,NA,NA,NA,NA,NA
3222,"*C(=O)NC(=O)NCCCN*",5.82,4.01,1.13,3.06,1.7,-5.78,NA,1.32,6.61,0.73,0.73,NA,NA,362,NA,24.2,NA,NA,NA,NA,NA,NA
3223,"*C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N*",3.25,5.51,1.42,3.92,1.97,-6.27,NA,1.64,5.53,1.68,1.01,NA,NA,352,NA,21.94,NA,NA,NA,NA,NA,NA
3224,"*C(=O)NC(=O)OC(=O)NCN*",5.29,4.67,1.66,3.01,1.73,-6.2,NA,1.56,7.81,1.58,0.98,NA,NA,366,NA,20.38,NA,NA,NA,NA,NA,NA
3225,"*C(=O)NOCCCCO*",6.23,3.51,0.88,2.8,1.67,-5.45,NA,1.25,6.73,0.35,0.72,NA,NA,253,NA,21.87,NA,NA,NA,NA,NA,NA
3226,"*C(=O)NONC(=O)NC(S1)=CC=C1N*",3.42,5.31,1.61,4.49,1.94,-5.99,NA,1.61,5.77,1.44,1.03,NA,NA,336,NA,23.11,NA,NA,NA,NA,NA,NA
